Course, From, Skill
Python for Data Science  AI & Development, IBM, Python Programming  Computer Programming  Data Analysis
Crash Course on Python, Google, Computer Programming  Data Structures  Problem Solving  Python Programming
Python for Everybody, University of Michigan, Computer Programming  Python Programming  Computer Programming Tools  Programming Principles  Data Structures  Computational Thinking  Computational Logic  Data Analysis  Software Engineering  Algorithms  Critical Thinking  Problem Solving  Data Architecture  Data Management  Database Application  Databases  Database Administration  Data Model  Data Visualization  Database Design  Database Theory  Web Development  Web Development Tools  Computer Networking  SQL  HTML and CSS
Google IT Automation with Python, Google, Cloud Computing  Cloud Platforms  Collaboration  Computer Programming  Data Structures  Google Cloud Platform  Leadership and Management  Problem Solving  Python Programming
Get Started with Python, Google, Computer Programming  Data Analysis  Data Visualization  Python Programming
Python 3 Programming, University of Michigan, Python Programming  Computer Programming  Problem Solving
Python Basics, University of Michigan, Computer Programming  Python Programming  Problem Solving
Data Analysis with Python, IBM, Computer Programming  Data Analysis  Data Visualization  Exploratory Data Analysis  General Statistics  Machine Learning  Machine Learning Algorithms  Plot (Graphics)  Probability & Statistics  Python Programming  Regression
Programming in Python, Meta, Python Programming  Programming Principles  Big Data  Software Testing  Algorithms  Computer Programming  Django (Web Framework)  Tensorflow
IBM Data Science, IBM, Python Programming  Data Science  Machine Learning  Data Analysis  Algorithms  Data Analysis Software  Data Management  Data Visualization  Human Learning  R Programming  Business Analysis  Computer Programming  Database Application  Database Theory  Databases  Deep Learning  Exploratory Data Analysis  Machine Learning Algorithms  Plot (Graphics)  SQL  Data Model  Statistical Machine Learning  General Statistics  Probability & Statistics  Regression  Reinforcement Learning  Big Data  Cloud Computing  Data Mining  IBM Cloud  Writing
Learn to Program: The Fundamentals, University of Toronto, Computer Programming  Python Programming  Computational Logic  Problem Solving  Programming Principles  Computer Programming Tools  Critical Thinking  Computational Thinking  Algorithms  Mathematics
Create Your First Python Program From UST, Coursera Project Network, Computer Programming  Python Programming  Computer Science
Python for Cybersecurity, Infosec, Python Programming  Computer Programming
Applied Data Science with Python, University of Michigan, Python Programming  Data Analysis  Computer Programming  Machine Learning  Algorithms  Applied Machine Learning  Data Mining  Machine Learning Algorithms  Exploratory Data Analysis  Statistical Programming  Data Management  Extract  Transform  Load  Natural Language Processing  Critical Thinking  Statistical Machine Learning  Data Structures  Graph Theory  Network Analysis  Human Learning  Data Visualization  Network Model  Regression  Computer Networking  General Statistics  Network Architecture  Plot (Graphics)  Visualization (Computer Graphics)  Computer Graphics
Python Project for Data Science, IBM, Python Programming  Computer Programming  Data Analysis  Data Science
Python and Statistics for Financial Analysis, The Hong Kong University of Science and Technology, Basic Descriptive Statistics  Computer Programming  Data Analysis  Finance  Financial Analysis  Probability & Statistics  Python Programming  Statistical Analysis  Data Analysis Software  General Statistics  Data Visualization
Python Programming Fundamentals, Duke University, Algorithms  Computer Programming  Problem Solving  Python Programming
Databases and SQL for Data Science with Python, IBM, Python Programming  Business Analysis  Computer Programming  Data Analysis  Data Analysis Software  Data Management  Database Application  Database Theory  Databases  SQL  Cloud Computing  IBM Cloud
Programming for Everybody (Getting Started with Python), University of Michigan, Algorithms  Computational Logic  Computational Thinking  Computer Programming  Computer Programming Tools  Critical Thinking  Problem Solving  Programming Principles  Python Programming  Software Engineering
Introduction to Python, Coursera Project Network, Computer Programming  Python Programming
Google Data Analytics, Google, Data Analysis  SQL  R Programming  Business Communication  Spreadsheet Software  Business Analysis  Data Visualization  Data Management  General Statistics  Big Data  Communication  Computer Programming  Data Science  Data Visualization Software  Databases  Exploratory Data Analysis  Extract  Transform  Load  Leadership and Management  Microsoft Excel  Problem Solving  Small Data  Statistical Programming  Tableau Software
Using Python to Interact with the Operating System, Google, Computer Programming  Python Programming
Machine Learning with Python, IBM, Machine Learning  Algorithms  Data Analysis  Human Learning  Python Programming  Regression
